Name,Colors,Deck,Life,Tier,Boss,Difficulty,Include
Bandit,BR,bandit,13,Uncommon,N,0.1,Y
Bandit Archer,BR,banditarcher_blink,15,Uncommon,N,0.1,Y
Bandit Leader,BR,banditleader_bolas,25,Uncommon,N,0.1,Y
Bandit Scoundrel,BR,bandit_scoundrel_r111,13,Uncommon,N,0.1,Y
Bandit Slingshot,BR,banditslingshot_flyers,20,Rare,N,0.1,Y
Bandit Trapmaster,BR,bandittrapper_hazezon,20,Rare,N,0.1,Y
Barbarian,R,barbarian,17,Uncommon,N,1.0,Y
Bat,B,bat,15,Common,N,0.1,Y
Bear,G,bear.json,16,Uncommon,N,0.1,Y
Beastmaster,GW,beastmaster,15,Uncommon,N,0.1,Y
Beholder,BRU,beholder,15,Uncommon,N,0.1,Y
Berserker,BGR,berserker.json,13,Uncommon,N,0.1,Y
Big Zombie,B,zombie_bad.json,13,Common,N,0.1,Y
Bird,U,bird_blue.json,11,Common,N,0.1,Y
Black Golem,B,blackconstruct,32,Rare,N,2.0,Y
Bloodgift Demon,BRW,demonwander,18,Uncommon,N,0.1,Y
Bloodied Skeleton,B,bloodiedskeleton,13,Common,N,0.2,Y
Blue Golem,U,blue_golem,49,Mythic,N,3.0,Y
Blue Prototype,U,prototype_blue,18,Rare,N,0.3,Y
Boar,G,boar.json,13,Common,N,0.4,Y
Bog Witch,B,bog_witch_r111,13,Common,N,0.1,Y
Boggart,GR,eyeblight,12,Common,N,0.1,Y
Bone Dragon,R,bonedragon,41,Mythic,N,3.0,Y
Bone Golem,GW,bonegolem,20,Rare,N,0.1,Y
Brain Mole,GR,millwizard,20,Rare,N,0.1,Y
Bull,G,bull,12,Common,N,0.8,Y
Camel,W,camel,15,Common,N,0.1,Y
Caracal,G,caracal,17,Common,N,0.1,Y
Cathar,GW,cathar,13,Uncommon,N,0.1,Y
Cave Spider,RGB,cave_spider,18,Rare,N,0.1,Y
Centaur,GW,centaur.json,16,Rare,N,0.1,Y
Centaur Warrior,GW,centaur_warrior,16,Common,N,0.1,Y
Cephalid,,cephalid,25,Rare,N,2.0,Y
Cerodon,U,cerodon,32,Common,N,1.0,Y
Challenger 20,UBRWG,challenger_20_allied_fires,22,Uncommon,N,3.0,Y
Challenger 21,UBRWG,challenger_21_azorius_control,22,Rare,N,3.0,Y
Challenger 22,UBRWG,challenger_22_dimir_control,22,Uncommon,N,3.0,Y
Chandra,R,Fire of Kaladesh,70,Uncommon,Y,0.1,Y
Chandra's Acolyte,R,chandra1,28,Rare,N,2.0,Y
Chandra's Firestarter,R,chandra2,32,Rare,N,2.0,Y
Chandra's Hellhound,R,hellhound2,17,Uncommon,N,1.0,Y
Chandra's Immolator,R,chandra3,30,Rare,N,2.0,Y
Chandra's Lavamancer,R,chandra4,34,Rare,N,2.0,Y
Chandra's Pyromancer,R,chandra5,27,Uncommon,N,0.1,Y
Chandra's Scorcher,R,chandra_s_scorcher_r111,28,Rare,N,2.0,Y
Chicken,WG,chicken,12,Rare,N,0.8,Y
Chimera,GW,chimera,25,Rare,N,0.1,Y
Clay Golem,W,golem_good.json,45,Mythic,N,3.0,Y
Cleric,W,cleric.json,13,Uncommon,N,0.1,Y
Cloaker,B,cloaker,12,Common,N,0.1,Y
Cloud Giant,WUG,cloudgiant,25,Rare,N,0.1,Y
Cloud Guardian,WU,cloudguard,25,Rare,N,0.1,Y
Conjurer,UB,conjure,35,Rare,Y,0.1,Y
Construct,RU,artificer,14,Common,N,0.1,Y
Copper Host Brutalizer,GB,copperhostbrutalizer,19,Uncommon,N,0.1,Y
Copper Host Infector,G,copperhostinfector.json,16,Uncommon,N,0.1,Y
Corrupted Blue Wizard,,bluewiz_corrupted,15,Uncommon,N,1.0,Y
Corrupted Cleric,,corruptedcleric,15,Uncommon,N,0.6,Y
Corrupted Green Wizard,,greenmage_corrupted,15,Rare,N,1.0,Y
Corrupted Red Wizard,,redwiz_corrupted,15,Uncommon,N,1.0,Y
Cosmic Horror,RG,cosmic_horror,30,Rare,N,0.8,Y
Crab,UB,crab.json,11,Uncommon,N,0.1,Y
Criosphinx,WU,criosphinx_r111,19,Uncommon,N,0.1,Y
Crocodile,WU,crocodile,19,Uncommon,N,0.1,Y
Curselord,RBU,curselord,20,Uncommon,N,0.1,Y
Cyclops,R,cyclops,11,Common,N,0.1,Y
Dark Enchanter,GB,darkenchanter,35,Uncommon,Y,0.1,Y
Dark Knight,B,dark_knight_r111,14,Uncommon,N,0.1,Y
Dark Spirit,B,dark_spirit,13,Common,N,0.1,Y
Dawnhart Witch,GW,dawnhart_witch,13,Common,N,0.1,Y
Death Knight,B,death_knight,15,Uncommon,N,0.1,Y
Demon,B,demon.json,17,Uncommon,N,1.0,Y
Demon of Tibalt,B,tibalt_demon,51,Mythic,N,3.0,Y
Demoncaller,BR,demoncaller,20,Rare,N,0.1,Y
Devil,R,devil.json,10,Common,N,0.1,Y
Devil of Tibalt,R,tibalt_devil,28,Rare,N,2.0,Y
Dimir Faerie,BU,dimir_faerie,17,Rare,N,0.1,Y
Dinosaur,RW,dinosaur_w_r,19,Common,N,0.1,Y
Dinosaur Elite,GRW,dinosaurelite,30,Rare,N,0.1,Y
Disciple of Teferi,WUR,disciple_of_teferi,12,Rare,N,0.1,Y
Djinn,RU,djinn.json,18,Uncommon,N,0.1,Y
Dog,W,dog.json,11,Common,N,0.1,Y
Doppelganger,C,doppelganger_r111,20,Uncommon,N,0.1,Y
Dragon,R,dragon,21,Uncommon,N,1.0,Y
Dragonfly,WBG,insect,14,Rare,N,0.1,Y
Drake,U,drake_ur_beginner,20,Uncommon,N,0.1,Y
Dross Gladiator,B,drossgladiator.json,22,Uncommon,N,0.1,Y
Dross Grimnarch,BU,drossgrimnarch,19,Uncommon,N,0.1,Y
Dwarf,RW,dwarf.json,13,Uncommon,N,0.1,Y
Dwarf Demolisher,R,dwarfdemolisher,14,Uncommon,N,0.1,Y
Dwarf Mercenary,RG,dwarfmercenary,13,Uncommon,N,0.1,Y
Dwarf Pilot,RW,dwarfpilot,13,Rare,N,0.1,Y
Dwarf Warlord,W,dwarf_whitecastle,32,Rare,N,2.0,Y
Earth Elemental,U,earth_elemental,14,Common,N,0.1,Y
Efreet,RU,efreet,18,Uncommon,N,0.1,Y
Eldraine Faerie,GU,eldraine_faerie,8,Uncommon,N,0.1,Y
Eldraine Knight,RW,eldraine_knight,14,Uncommon,N,0.1,Y
Eldrazi,BGU,eldrazi,19,Uncommon,N,2.0,Y
Eldrazi Devastator,BGU,eldrazilarge,30,Rare,N,0.1,Y
Eldrazi Floater,BGU,eldrazi_floater_r111,40,Rare,N,0.1,Y
Elemental,U,elemental_air,15,Rare,N,0.1,Y
Elephant,GW,elephant.json,20,Rare,N,0.1,Y
Elesh Norn,W,copperhostbrutalizer,80,Uncommon,Y,0.5,Y
Elf,G,elf_bad.json,13,Common,N,0.1,Y
Elf Vagabond,R,elfvagabond,13,Common,N,0.2,Y
Elf warrior,G,elf_mid.json,11,Uncommon,N,0.1,Y
Elk,G,elk,13,Common,N,0.1,Y
Emrakul,C,emrakul,100,Rare,Y,3.0,Y
Esper Artificer,UB,esper_artificer,25,Rare,N,0.1,Y
Evil Wall,GW,hiddenwall,20,Uncommon,N,0.1,Y
Eye,B,eye,11,Common,N,0.1,Y
Faerie,BGU,faerie.json,8,Uncommon,N,0.1,Y
Faerie Dragon,BU,faeriedragon,17,Rare,N,0.1,Y
Falcon,W,falcon_w,12,Common,N,0.1,Y
Falcon-headed Aven Warrior,W,amonkhet_aven_w,16,Common,N,0.1,Y
Fallen Angel,BW,fallen_angel,20,Uncommon,N,0.1,Y
False Knight,B,false_knight_r111,13,Common,N,0.1,Y
False Monk,B,false_monk_r111,18,Uncommon,N,1.0,Y
Farmer,GW,farmer,13,Uncommon,N,0.1,Y
Fire Dragon,R,firedragon,30,Rare,N,2.0,Y
Fire Elemental,R,fire_elemental,13,Common,N,0.1,Y
Fire Giant,R,firegiant,33,Rare,N,2.0,Y
Flame Elemental,R,flame_elemental,20,Uncommon,N,1.0,Y
Flesh Abomination,B,flesh_horror,32,Common,N,0.8,Y
Flying Witch,B,flying_witch_r111,11,Common,N,0.1,Y
Fog Trap,WG,turbofog,18,Rare,N,0.1,Y
Forest Giant,G,foresttitan,46,Mythic,N,3.0,Y
Fox,W,fox.json,9,Common,N,0.1,Y
Frog,BGU,frog.json,15,Uncommon,N,0.1,Y
Froghemoth,RG,froghemoth,25,Rare,N,0.8,Y
Frost Titan,WU,frost_titan,18,Uncommon,N,0.1,Y
Fungus,G,fungus.json,10,Common,N,0.1,Y
Furnace Goblin,R,furnacegoblin.json,14,Uncommon,N,0.1,Y
Furnace Tormentor,RG,furnacetormentor,19,Uncommon,N,0.1,Y
Gargoyle,RUW,gargoyle.json,17,Rare,N,0.9,Y
Gargoyle 2,W,gargoyle,17,Common,N,0.6,Y
Garruk,GB,garruk,25,Rare,Y,1.0,Y
Geist,U,ghost_blue,16,Common,N,0.1,Y
Geistmage,U,geistmage,12,Common,N,0.1,Y
Geonid Death-Cap,G,geonid,11,Common,N,0.1,Y
Ghalta,G,ghalta,40,Rare,Y,2.0,Y
Ghost,B,ghost.json,45,Mythic,N,3.0,Y
Ghoul,BU,ghoul,13,Common,N,0.1,Y
Ghoul Gravecaller,BU,ghoulgravecrawler,20,Rare,N,0.1,Y
Giant Cyclops,UR,luckyminotaur,30,Rare,N,0.1,Y
Giant Fly,G,giant_fly_r111,28,Rare,N,2.0,Y
Giant Panda,G,giantpanda,16,Uncommon,N,0.1,Y
Giant Spider,G,spider_token,15,Common,N,0.1,Y
Gitaxian Scientist,UG,gitaxianscientist,19,Uncommon,N,0.1,Y
Gitaxian Underling,U,gitaxianunderling.json,12,Common,N,0.1,Y
Gladiator,R,gladiator,52,Mythic,N,3.0,Y
Goblin,R,goblin_warrior_easy,12,Common,N,0.1,Y
Goblin Artificer,R,goblin_artificer,27,Rare,N,2.0,Y
Goblin Chief,BR,goblin_chief_medium,15,Rare,N,0.1,Y
Goblin Fanatic,GR,goblin_fanatic,15,Uncommon,N,0.1,Y
Goblin King,R,goblinking,18,Uncommon,N,1.0,Y
Goblin Pack,R,goblin_bad.json,20,Common,N,0.1,Y
Goblin Rager,R,goblinrager,13,Common,N,0.2,Y
Goblin Stalker,BR,evilgoblin,15,Uncommon,N,0.1,Y
Goblin Warrior,R,goblin_mid.json,12,Uncommon,N,0.1,Y
Golem,GW,golem.json,13,Common,N,0.1,Y
Golem Sentinel,C,golem_sentinel,20,Uncommon,N,0.1,Y
Golgari Elf,BG,elf_golgari,20,Uncommon,N,0.2,Y
Golgari Fungus,BG,fungus_golgari,16,Uncommon,N,0.1,Y
Golgari Treefolk,BG,treefolk_golgari,25,Rare,N,0.2,Y
Gorgon,BG,gorgon,14,Uncommon,N,0.1,Y
Gorgon 2,BG,gorgon_2,14,Common,N,0.1,Y
Gorilla,RG,gorilla,20,Rare,N,0.8,Y
Grave Titan,B,gravetitan,26,Rare,N,2.0,Y
Graven Revenant,B,giralfgisa,20,Rare,N,0.1,Y
Greater Sandwurm,G,sandwurm,13,Uncommon,N,0.1,Y
Greater Zombie,B,zombie_greater,20,Uncommon,N,1.0,Y
Green Beast,G,beast_green.json,47,Mythic,N,3.0,Y
Green Golem,U,greengolem,46,Mythic,N,3.0,Y
Green Prototype,G,prototype_green,20,Uncommon,N,1.0,Y
Griffin,W,griffin.json,14,Uncommon,N,0.1,Y
Griselbrand,B,griselbrand,40,Rare,Y,3.0,Y
Grolnok,BGU,frogboss,50,Uncommon,Y,0.8,Y
Guardian Angel,WUBRG,angel_rainbow_encounter,50,Mythic,Y,0.2,Y
Harpy,B,harpy,14,Common,N,0.1,Y
Harpy 2,BU,harpy_2,13,Common,N,0.1,Y
Heart-Piercer Manticore,U,manticore,11,Common,N,0.1,Y
Hedgehog,G,hedgehog,28,Rare,N,2.0,Y
Hellhound,BR,hellhound,17,Common,N,0.1,Y
Hellion,R,hellion,21,Uncommon,N,1.0,Y
Hermit Crab,UG,hermitcrab,20,Rare,N,0.1,Y
Hidden Bush,GU,plant,20,Uncommon,N,0.1,Y
Hidden Snake,GU,snake.json,20,Rare,N,0.1,Y
High Cultist,B,cultist,21,Uncommon,N,1.0,Y
High Elf,BG,elf_good.json,12,Rare,N,0.1,Y
High Vampire,B,vampire.json,53,Mythic,N,3.0,Y
Hippo,G,hippo,19,Rare,N,0.1,Y
Holy Apparition,W,seraphim,45,Mythic,N,3.0,Y
Holy Paladin,W,holypaladin,27,Rare,N,2.0,Y
Homarid,,homarid,20,Common,N,0.1,Y
Horror,BU,horror,17,Uncommon,N,0.1,Y
Horror of Tibalt,BU,tibalt_horror,17,Rare,N,0.1,Y
Horse,GW,horse,14,Uncommon,N,0.1,Y
Horseman,UW,horsemanship,14,Common,N,0.1,Y
Hulking Brute,B,hulkingbrute,20,Common,N,0.1,Y
Human,BRW,human_bad.json,11,Common,N,0.1,Y
Human Bard,RW,humanbard,25,Rare,N,0.1,Y
Human Captain,UW,humanelite,20,Rare,N,0.1,Y
Human elite,W,human_good.json,41,Mythic,N,3.0,Y
Human guard,BW,human_mid.json,12,Uncommon,N,0.1,Y
Human Looter,GW,peasantrole,15,Rare,N,0.1,Y
Human Mercenary,GW,humanmercenary,13,Common,N,0.1,Y
Hydra,G,hydra.json,46,Mythic,N,3.0,Y
Ibis,GU,bird_gu,11,Common,N,0.1,Y
Ibis-headed Aven Warrior,U,amonkhet_aven_u,18,Common,N,0.1,Y
Ice Elemental,R,ice_elemental,17,Common,N,0.1,Y
Illusionist,U,illusion,18,Uncommon,N,1.0,Y
Immersturm Demon,BR,immersturm_demon,17,Common,N,0.1,Y
Jace,UW,jace,40,Rare,Y,0.1,Y
Jellyfish,,jellyfish,12,Uncommon,N,0.1,Y
Jin-Gitaxias,W,copperhostbrutalizer,80,Uncommon,Y,0.5,Y
Juggernaut,,juggernaut,20,Common,N,0.1,Y
Kavu,RGW,kavu,20,Uncommon,N,0.1,Y
Khan,BRW,mardu,14,Uncommon,N,0.1,Y
Khenra Warrior,,jackal,11,Common,N,0.1,Y
Kiora,UG,kiora,40,Rare,Y,0.8,Y
Knight,W,knight.json,42,Mythic,N,3.0,Y
Knight Mercenary,UW,knightmercenary,13,Rare,N,0.1,Y
Kobold Dragoncaller,RB,kobolddragoncaller,12,Rare,N,0.1,Y
Kobold Pyromancer,RB,kobold_pyromancer_r111,20,Uncommon,N,0.1,Y
Kobold Shaman,RB,roshnakhtheroic,12,Common,N,0.1,Y
Kobold Slinger,RB,kobold,12,Rare,N,0.1,Y
Kobold Trapmaster,RB,koboldtrapmaster,12,Uncommon,N,0.1,Y
Kobold Warrior,RB,kobold_warrior_r111,12,Rare,N,0.1,Y
Kobold Worker,RB,kobold_worker_r111,12,Rare,N,0.1,Y
Kor Warrior,RW,kor_warrior,15,Rare,N,0.1,Y
Kozilek,W,copperhostbrutalizer,80,Uncommon,Y,0.5,Y
Ladybug,G,ladybug,21,Uncommon,N,1.0,Y
Lathliss,R,lathliss,40,Mythic,Y,2.0,Y
Leonin Warrior,GW,leoninwarrior,15,Rare,N,0.1,Y
Leonin Weaponmaster,GW,leoninswordsmith,15,Rare,N,0.1,Y
Lich,B,lich,20,Uncommon,N,1.0,Y
Lightning Elemental,R,lightning_elemental,21,Uncommon,N,0.1,Y
Liliana,B,liliana_zombies,70,Rare,Y,0.1,Y
Liliana's Alchemist,BG,dimir_ninja,25,Rare,N,0.2,Y
Liliana's Herbalist,BG,lilianas_herbalist,25,Uncommon,N,0.2,Y
Lion,W,lion,17,Uncommon,N,1.0,Y
Loamspeaker,GU,loamspeaker,20,Rare,N,0.1,Y
Lord Pestilence,B,trap,17,Uncommon,N,1.0,Y
Lorthos,U,lorthos,40,Rare,Y,3.0,Y
Maelstrom Angel,W,maelstromangel,33,Rare,N,2.0,Y
Mageripper,GUR,mageripper,15,Rare,N,0.1,Y
Magma Elemental,R,magma_elemental,25,Uncommon,N,0.1,Y
Magma Fire Elemental,R,magma_fire_elemental_r111,11,Common,N,0.1,Y
Master Black Wizard,B,blackwizard_hard_gravepact,20,Rare,N,2.0,Y
Master Blue Wizard,U,bluewizard_hard_control,20,Uncommon,N,2.0,Y
Master Green Wizard,G,greenwizard_hard_ramp,20,Rare,N,2.0,Y
Master Red Wizard,R,redwizard_hard_burn,20,Rare,N,2.0,Y
Master White Wizard,W,whitewizard_hard_humility,20,Rare,N,2.0,Y
Merfolk,U,merfolk_bad.json,13,Common,N,0.1,Y
Merfolk Avatar,GU,merfolk_good.json,14,Rare,N,0.1,Y
Merfolk Elite,UGW,merfolk_elite,25,Rare,N,0.1,Y
Merfolk Fighter,GU,merfolk_lords,20,Uncommon,N,0.2,Y
Merfolk Lord,GU,merfolk_lord2,20,Rare,N,0.25,Y
Merfolk Soldier,U,merfolk_v_goblins,13,Common,N,0.1,Y
Merfolk warrior,U,merfolk_mid.json,12,Uncommon,N,0.1,Y
Metallic Sliver,BUR,sliver_metallicsliver,30,Rare,N,1.0,Y
Mighty Djinn,U,mighty_djinn,24,Rare,N,0.1,Y
Mimic,BU,mimic,12,Uncommon,N,0.1,Y
Mindclaw Shaman,BR,mindclaw_shaman,19,Rare,N,0.1,Y
Minor Demon,B,demon4,18,Uncommon,N,0.1,Y
Minotaur,R,minotaur.json,13,Common,N,0.1,Y
Minotaur Flayer,BR,minotaur,16,Common,N,0.1,Y
Minotaur Warcaller,R,minotaur_monored_castle,27,Rare,N,2.0,Y
Monk,W,monk.json,11,Uncommon,N,0.1,Y
Monkey,RG,ragavan,20,Rare,N,0.8,Y
Mountain Ogre,BR,ogre_large,19,Rare,N,0.1,Y
Mummy,,mummy,11,Common,N,0.1,Y
Myr Superion,C,myr_superion,25,Uncommon,Y,0.5,Y
Naga Warrior,BR,nagawarrior,16,Common,N,0.1,Y
Nahiri,RW,nahiri,40,Rare,Y,0.1,Y
Naked Mole Rat,G,shrinemole,18,Uncommon,N,1.0,Y
Nantuko Guard,BGU,nantuko_morpher,25,Rare,N,0.1,Y
Necrogoyf,B,necrogoyf,53,Mythic,N,3.0,Y
Necromancer,B,reanimator,31,Rare,N,2.0,Y
Nezumi Leader,,rat_leader,30,Uncommon,N,0.1,Y
Nezumi Ninja,,humanoidrat,15,Uncommon,N,0.1,Y
Nightmare,RG,nightmare,30,Mythic,N,0.8,Y
Nissa,W,copperhostbrutalizer,80,Uncommon,Y,0.5,Y
Octopus,,octopus,13,Rare,N,0.1,Y
Ooze,UG,ooze.json,12,Uncommon,N,0.1,Y
Ooze Boss,GB,ooze_boss,35,Rare,Y,0.1,Y
Orc Brute,BR,orc_brute,18,Rare,N,0.1,Y
Orc Hunter,BR,orc_hunter,18,Rare,N,0.1,Y
Orc Warrior,BR,orc_warrior,18,Rare,N,0.1,Y
Orthodoxy Angel,WG,phyrexianangel,19,Uncommon,N,0.1,Y
Orthodoxy Duelist,WB,phyrexianduelist.json,16,Uncommon,N,0.1,Y
Orzhov Cleric,WB,cleric_orzhov,20,Uncommon,N,0.2,Y
Owl,,owl,13,Uncommon,N,0.1,Y
Parrot,BU,parrot,12,Uncommon,N,0.1,Y
Penguin,G,penguin,20,Uncommon,N,1.0,Y
Penguin Elite,G,penguinelite,26,Rare,N,2.0,Y
Pharaoh,,pharaoh,25,Rare,N,0.1,Y
Phoenix,R,phoenix,47,Mythic,N,3.0,Y
Pirate,UR,pirate,16,Uncommon,N,0.1,Y
Pirate 2,BRU,pirate2,16,Rare,N,0.1,Y
Pirate 3,BRU,pirate3,16,Rare,N,0.1,Y
Pirate Captain,URB,pirate_captain,25,Rare,N,0.1,Y
Pirate Captain 2,B,pirate_captain_2,11,Common,N,0.1,Y
Plague Rat Swarm,B,rat_poisonrat,12,Common,N,0.1,Y
Plaguelord,UB,plaguelord_r111,20,Uncommon,N,0.1,Y
Plant,,plant.json,15,Uncommon,N,0.1,Y
Poisonous Snake,G,poisonoussnake,14,Common,N,0.1,Y
Polar Bear,G,polarbear,28,Rare,N,2.0,Y
Porcupine,GR,porcupine,20,Rare,N,0.1,Y
Priest Fanatic,W,fanaticpriest,53,Mythic,N,3.0,Y
Pyromancer,R,pyromancer,12,Common,N,0.1,Y
Raccoon,GW,enchantment_aggro,20,Rare,N,0.1,Y
Rakdos Devil,BR,rakdos_devil,11,Uncommon,N,0.1,Y
Rakdos Wizard,BG,rakdos_vamps,25,Rare,N,0.2,Y
Raptor,RW,dinosaur_rw_enrage,20,Uncommon,N,0.1,Y
Raven,BU,raven,12,Uncommon,N,1.0,Y
Reassembling Skeleton,B,reassemblingskeleton,11,Common,N,0.1,Y
Recruiter Sliver,BUR,sliver_recruitersliver,30,Uncommon,N,1.0,Y
Red Beast,R,beast_red.json,50,Mythic,N,3.0,Y
Rhino,GW,rhino,16,Uncommon,N,0.1,Y
Rogue,BU,rogue.json,11,Uncommon,N,0.1,Y
Royal King,W,whiteking,24,Rare,N,0.1,Y
Royal Sentinel,UB,royal_sentinel_r111,20,Rare,N,0.1,Y
Runelord,B,runelord,26,Rare,N,2.0,Y
Sand Ghoul,W,sandghoul,21,Uncommon,N,1.0,Y
Sand Golem,W,sandgolem,12,Common,N,0.1,Y
Satyr,GR,satyr,12,Common,N,0.1,Y
Satyr Grove Guardian,GR,satyr_hard,15,Uncommon,N,0.1,Y
Scarab,B,scarab,21,Common,N,0.1,Y
Scarecrow,B,scarecrow,12,Uncommon,N,0.1,Y
Scarecrow Captain,WUBRG,scarecrowcaptain,40,Uncommon,Y,0.1,Y
Scorpion,,scorpion,11,Common,N,0.1,Y
Scourgemaster,B,demon_hellbent,33,Rare,N,2.0,Y
Sea Monster,U,sea_monster,18,Uncommon,N,0.1,Y
Shade,B,shade,22,Uncommon,N,1.0,Y
Shaman,GR,shaman.json,14,Uncommon,N,0.1,Y
Shaman of Zedruu,GR,shamanelite,20,Rare,N,0.1,Y
Simic Wizard,UG,simicwizard_intruderalarm,20,Rare,N,0.1,Y
Skeleton,B,skeleton,12,Common,N,0.1,Y
Skeleton Champion,B,skeleton_champion,27,Uncommon,N,0.2,Y
Skeleton Soldier,B,skeleton_2,11,Common,N,0.1,Y
Slimefoot,BG,slimefoot,40,Uncommon,Y,0.8,Y
Slivdrazi Experiment,BUR,sliver_slivdrazi,30,Rare,N,2.0,Y
Sliver,GRW,sliver.json,15,Uncommon,N,1.0,Y
Sliver Queen,BGRUW,sliver_queen,50,Rare,Y,2.0,Y
Sliver_Black,BUR,sliver_black,20,Rare,N,1.0,Y
Sliver_Blue,UWB,sliver_blue,20,Rare,N,1.0,Y
Sliver_Green,GWRBU,sliver_green,20,Rare,N,1.0,Y
Sliver_Red,RBG,sliver_red,20,Uncommon,N,1.0,Y
Sliver_White,WGU,sliver_white,20,Uncommon,N,1.0,Y
Slobad,R,slobad,40,Rare,Y,0.8,Y
Snail,B,slug,13,Common,N,0.2,Y
Snake,GU,snake.json,12,Rare,N,0.1,Y
Snow Wizard,UG,simicwizard_snow,20,Uncommon,N,1.0,Y
Sorin,GB,sorin,55,Rare,Y,1.0,Y
Sphinx,WU,sphinx amonkhet,19,Uncommon,N,0.1,Y
Spider,BG,spider.json,14,Rare,N,0.1,Y
Spiked Ravager,B,demon_demonicpact,20,Uncommon,N,1.0,Y
Spirit,U,spirit,12,Common,N,0.1,Y
Squirrel,BG,squirrel,15,Rare,N,0.1,Y
Stegosaurus,RG,dinosaur_gruul_etali,12,Uncommon,N,0.1,Y
Storm Titan,U,stormtitan,41,Mythic,N,3.0,Y
Stray Cat,W,cat_greenblack,13,Common,N,0.1,Y
Sun Giant,W,sun titan,28,Rare,N,2.0,Y
Sunmare,GW,sunmare_r111,14,Uncommon,N,0.1,Y
Supreme Elemental,WUBRG,supremeelemental,18,Rare,N,0.1,Y
Swamp Troll,GB,swamptroll,35,Rare,N,0.1,Y
Symbiote,BUG,symbiote,11,Uncommon,N,0.1,Y
Tarkir Djinn,RU,djinn_tarkir,18,Common,N,0.1,Y
Teferi,WU,teferi_boss,40,Mythic,Y,0.8,Y
The Cheff,GBR,thecheff,50,Rare,Y,0.1,Y
The Hydra of Shandalaar,G,hydraboss,30,Rare,Y,0.1,Y
Tibalt,R,tibalt,40,Rare,Y,0.8,Y
Tiger,G,tiger,13,Common,N,0.1,Y
Tomb Guardian,B,tombguardian,18,Common,N,0.1,Y
Torturer,B,torturer,30,Rare,Y,0.1,Y
Treefolk,G,treefolk.json,50,Mythic,N,3.0,Y
Treefolk Elite,G,treefolkelite,18,Uncommon,N,1.0,Y
Treefolk Guardian,G,treefolk,13,Common,N,0.1,Y
Triceratops,GW,dinosaur_gw_ramp,20,Uncommon,N,0.1,Y
Troll,GR,troll.json,18,Rare,N,0.1,Y
Turtle,U,turtle.json,21,Uncommon,N,0.1,Y
Undead Goblin,RB,monobgoblins,20,Uncommon,N,0.1,Y
Undead Roamer,B,undeadroamer,18,Rare,N,0.1,Y
Undead Shuffler,B,undeadshuffler,19,Rare,N,0.1,Y
Unholy Knight,B,unholyknight,26,Rare,N,2.0,Y
